mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53402069,12,12101,2021,04,0,0,664
53402069,12,12101,2021,04,0,1,229
53402069,12,12101,2021,04,0,2,436
53402069,12,12101,2021,04,1,0,1194
53402069,12,12101,2021,04,1,1,284
53402069,12,12101,2021,04,1,2,707
53402069,12,12101,2021,04,2,0,1035
53402069,12,12101,2021,04,2,1,268
53402069,12,12101,2021,04,2,2,625
53402077,12,12101,2021,04,0,0,41
53402077,12,12101,2021,04,0,2,13
53402077,12,12101,2021,04,1,0,130
53402077,12,12101,2021,04,1,1,13
53402077,12,12101,2021,04,1,2,58
53402077,12,12101,2021,04,2,0,103
53402077,12,12101,2021,04,2,2,45
53402078,12,12101,2021,04,0,0,105
53402078,12,12101,2021,04,0,1,20
53402078,12,12101,2021,04,0,2,65
53402078,12,12101,2021,04,1,0,506
53402078,12,12101,2021,04,1,1,78
53402078,12,12101,2021,04,1,2,227
53402078,12,12101,2021,04,2,0,385
53402078,12,12101,2021,04,2,1,60
53402078,12,12101,2021,04,2,2,179
53402079,12,12101,2021,04,0,0,80
53402079,12,12101,2021,04,0,1,48
53402079,12,12101,2021,04,0,2,45
53402079,12,12101,2021,04,1,0,1284
53402079,12,12101,2021,04,1,1,215
53402079,12,12101,2021,04,1,2,669
53402079,12,12101,2021,04,2,0,923
53402079,12,12101,2021,04,2,1,165
53402079,12,12101,2021,04,2,2,482
53402086,12,12101,2021,04,0,0,15
53402086,12,12101,2021,04,0,1,22
53402086,12,12101,2021,04,0,2,11
53402086,12,12101,2021,04,1,0,14
53402086,12,12101,2021,04,2,0,14
53402087,12,12101,2021,04,0,0,89
53402087,12,12101,2021,04,0,1,41
53402087,12,12101,2021,04,0,2,64
53402087,12,12101,2021,04,1,0,261
53402087,12,12101,2021,04,1,1,13
53402087,12,12101,2021,04,1,2,135
53402087,12,12101,2021,04,2,0,210
53402087,12,12101,2021,04,2,1,21
53402087,12,12101,2021,04,2,2,113
53402088,12,12101,2021,04,0,0,143
53402088,12,12101,2021,04,0,1,26
53402088,12,12101,2021,04,0,2,86
53402088,12,12101,2021,04,1,0,456
53402088,12,12101,2021,04,1,1,52
53402088,12,12101,2021,04,1,2,220
53402088,12,12101,2021,04,2,0,362
53402088,12,12101,2021,04,2,1,44
53402088,12,12101,2021,04,2,2,180
53402089,12,12101,2021,04,0,0,256
