mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53402069,12,12101,2021,09,0,0,812
53402069,12,12101,2021,09,0,1,372
53402069,12,12101,2021,09,0,2,563
53402069,12,12101,2021,09,1,0,1279
53402069,12,12101,2021,09,1,1,167
53402069,12,12101,2021,09,1,2,688
53402069,12,12101,2021,09,2,0,1123
53402069,12,12101,2021,09,2,1,235
53402069,12,12101,2021,09,2,2,647
53402077,12,12101,2021,09,0,0,190
53402077,12,12101,2021,09,0,2,64
53402077,12,12101,2021,09,1,0,200
53402077,12,12101,2021,09,1,1,17
53402077,12,12101,2021,09,1,2,83
53402077,12,12101,2021,09,2,0,196
53402077,12,12101,2021,09,2,1,11
53402077,12,12101,2021,09,2,2,77
53402078,12,12101,2021,09,0,0,60
53402078,12,12101,2021,09,0,1,76
53402078,12,12101,2021,09,0,2,70
53402078,12,12101,2021,09,1,0,291
53402078,12,12101,2021,09,1,1,87
53402078,12,12101,2021,09,1,2,171
53402078,12,12101,2021,09,2,0,214
53402078,12,12101,2021,09,2,1,83
53402078,12,12101,2021,09,2,2,137
53402079,12,12101,2021,09,0,0,376
53402079,12,12101,2021,09,0,1,65
53402079,12,12101,2021,09,0,2,209
53402079,12,12101,2021,09,1,0,1905
53402079,12,12101,2021,09,1,1,397
53402079,12,12101,2021,09,1,2,1027
53402079,12,12101,2021,09,2,0,1396
53402079,12,12101,2021,09,2,1,286
53402079,12,12101,2021,09,2,2,755
53402086,12,12101,2021,09,0,1,15
53402086,12,12101,2021,09,2,1,10
53402087,12,12101,2021,09,0,0,45
53402087,12,12101,2021,09,0,2,20
53402087,12,12101,2021,09,1,0,412
53402087,12,12101,2021,09,1,1,38
53402087,12,12101,2021,09,1,2,189
53402087,12,12101,2021,09,2,0,290
53402087,12,12101,2021,09,2,1,26
53402087,12,12101,2021,09,2,2,132
53402088,12,12101,2021,09,0,0,88
53402088,12,12101,2021,09,0,1,63
53402088,12,12101,2021,09,0,2,82
53402088,12,12101,2021,09,1,0,469
53402088,12,12101,2021,09,1,1,130
53402088,12,12101,2021,09,1,2,261
53402088,12,12101,2021,09,2,0,342
53402088,12,12101,2021,09,2,1,107
53402088,12,12101,2021,09,2,2,201
53402089,12,12101,2021,09,0,0,280
53402089,12,12101,2021,09,0,2,127
53402089,12,12101,2021,09,1,0,498
53402089,12,12101,2021,09,1,1,38
53402089,12,12101,2021,09,1,2,228
53402089,12,12101,2021,09,2,0,426
53402089,12,12101,2021,09,2,1,25
53402089,12,12101,2021,09,2,2,194
53402097,12,12101,2021,09,0,0,201
53402097,12,12101,2021,09,0,1,105
53402097,12,12101,2021,09,0,2,165
53402097,12,12101,2021,09,1,0,914
53402097,12,12101,2021,09,1,1,401
53402097,12,12101,2021,09,1,2,630
53402097,12,12101,2021,09,2,0,676
53402097,12,12101,2021,09,2,1,302
53402097,12,12101,2021,09,2,2,475
53402098,12,12101,2021,09,0,0,96
53402098,12,12101,2021,09,0,1,98
53402098,12,12101,2021,09,0,2,107
53402098,12,12101,2021,09,1,0,257
53402098,12,12101,2021,09,1,1,93
53402098,12,12101,2021,09,1,2,161
53402098,12,12101,2021,09,2,0,204
53402098,12,12101,2021,09,2,1,95
53402098,12,12101,2021,09,2,2,143
53402099,12,12101,2021,09,0,0,2556
53402099,12,12101,2021,09,0,1,620
53402099,12,12101,2021,09,0,2,1903
53402099,12,12101,2021,09,1,0,2825
53402099,12,12101,2021,09,1,1,582
53402099,12,12101,2021,09,1,2,1592
53402099,12,12101,2021,09,2,0,2735
53402099,12,12101,2021,09,2,1,594
53402099,12,12101,2021,09,2,2,1696
53402150,12,12101,2021,09,0,0,5378
53402150,12,12101,2021,09,0,1,7738
53402150,12,12101,2021,09,0,2,6859
53402150,12,12101,2021,09,1,0,4451
53402150,12,12101,2021,09,1,1,7589
53402150,12,12101,2021,09,1,2,6233
53402150,12,12101,2021,09,2,0,4760
53402150,12,12101,2021,09,2,1,7639
53402150,12,12101,2021,09,2,2,6442
53402160,12,12101,2021,09,0,0,5814
53402160,12,12101,2021,09,0,1,6443
53402160,12,12101,2021,09,0,2,6309
53402160,12,12101,2021,09,1,0,4711
53402160,12,12101,2021,09,1,1,6108
53402160,12,12101,2021,09,1,2,5732
53402160,12,12101,2021,09,2,0,5079
53402160,12,12101,2021,09,2,1,6220
53402160,12,12101,2021,09,2,2,5924
53402161,12,12101,2021,09,0,0,1876
53402161,12,12101,2021,09,0,1,1543
53402161,12,12101,2021,09,0,2,1684
53402161,12,12101,2021,09,1,0,1598
53402161,12,12101,2021,09,1,1,1369
53402161,12,12101,2021,09,1,2,1542
53402161,12,12101,2021,09,2,0,1691
53402161,12,12101,2021,09,2,1,1427
53402161,12,12101,2021,09,2,2,1589
53402162,12,12101,2021,09,0,0,3064
53402162,12,12101,2021,09,0,1,2369
53402162,12,12101,2021,09,0,2,2760
53402162,12,12101,2021,09,1,0,2218
53402162,12,12101,2021,09,1,1,2026
53402162,12,12101,2021,09,1,2,2169
53402162,12,12101,2021,09,2,0,2500
53402162,12,12101,2021,09,2,1,2141
53402162,12,12101,2021,09,2,2,2366
53402170,12,12101,2021,09,0,0,3247
53402170,12,12101,2021,09,0,1,4075
53402170,12,12101,2021,09,0,2,3784
53402170,12,12101,2021,09,1,0,3316
53402170,12,12101,2021,09,1,1,3732
53402170,12,12101,2021,09,1,2,3587
53402170,12,12101,2021,09,2,0,3293
53402170,12,12101,2021,09,2,1,3846
53402170,12,12101,2021,09,2,2,3653
53402171,12,12101,2021,09,0,0,3100
53402171,12,12101,2021,09,0,1,3136
53402171,12,12101,2021,09,0,2,3126
53402171,12,12101,2021,09,1,0,3364
53402171,12,12101,2021,09,1,1,3568
53402171,12,12101,2021,09,1,2,3461
53402171,12,12101,2021,09,2,0,3276
