mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53402069,12,12101,2021,06,0,0,841
53402069,12,12101,2021,06,0,1,400
53402069,12,12101,2021,06,0,2,610
53402069,12,12101,2021,06,1,0,894
53402069,12,12101,2021,06,1,1,398
53402069,12,12101,2021,06,1,2,593
53402069,12,12101,2021,06,2,0,880
53402069,12,12101,2021,06,2,1,399
53402069,12,12101,2021,06,2,2,597
53402077,12,12101,2021,06,0,0,43
53402077,12,12101,2021,06,0,2,19
53402077,12,12101,2021,06,1,0,129
53402077,12,12101,2021,06,1,2,55
53402077,12,12101,2021,06,2,0,106
53402077,12,12101,2021,06,2,2,45
53402078,12,12101,2021,06,0,0,123
53402078,12,12101,2021,06,0,2,67
53402078,12,12101,2021,06,1,0,322
53402078,12,12101,2021,06,1,1,55
53402078,12,12101,2021,06,1,2,148
53402078,12,12101,2021,06,2,0,269
53402078,12,12101,2021,06,2,1,40
53402078,12,12101,2021,06,2,2,127
53402079,12,12101,2021,06,0,0,266
53402079,12,12101,2021,06,0,1,160
53402079,12,12101,2021,06,0,2,199
53402079,12,12101,2021,06,1,0,1487
53402079,12,12101,2021,06,1,1,296
53402079,12,12101,2021,06,1,2,777
53402079,12,12101,2021,06,2,0,1162
53402079,12,12101,2021,06,2,1,260
53402079,12,12101,2021,06,2,2,623
53402087,12,12101,2021,06,0,0,118
53402087,12,12101,2021,06,0,1,23
53402087,12,12101,2021,06,0,2,61
53402087,12,12101,2021,06,1,0,370
53402087,12,12101,2021,06,1,1,49
53402087,12,12101,2021,06,1,2,181
53402087,12,12101,2021,06,2,0,303
53402087,12,12101,2021,06,2,1,42
53402087,12,12101,2021,06,2,2,149
53402088,12,12101,2021,06,0,0,120
53402088,12,12101,2021,06,0,1,78
53402088,12,12101,2021,06,0,2,121
53402088,12,12101,2021,06,1,0,382
53402088,12,12101,2021,06,1,1,82
53402088,12,12101,2021,06,1,2,214
53402088,12,12101,2021,06,2,0,312
53402088,12,12101,2021,06,2,1,81
53402088,12,12101,2021,06,2,2,189
53402089,12,12101,2021,06,0,0,253
53402089,12,12101,2021,06,0,1,18
53402089,12,12101,2021,06,0,2,117
53402089,12,12101,2021,06,1,0,332
53402089,12,12101,2021,06,1,1,46
53402089,12,12101,2021,06,1,2,174
53402089,12,12101,2021,06,2,0,311
53402089,12,12101,2021,06,2,1,38
53402089,12,12101,2021,06,2,2,159
53402096,12,12101,2021,06,1,0,28
53402096,12,12101,2021,06,1,2,14
53402096,12,12101,2021,06,2,0,21
53402096,12,12101,2021,06,2,2,11
53402097,12,12101,2021,06,0,0,221
53402097,12,12101,2021,06,0,1,181
53402097,12,12101,2021,06,0,2,199
53402097,12,12101,2021,06,1,0,1108
53402097,12,12101,2021,06,1,1,285
53402097,12,12101,2021,06,1,2,669
53402097,12,12101,2021,06,2,0,871
53402097,12,12101,2021,06,2,1,257
53402097,12,12101,2021,06,2,2,544
53402098,12,12101,2021,06,0,0,154
53402098,12,12101,2021,06,0,1,71
53402098,12,12101,2021,06,0,2,132
53402098,12,12101,2021,06,1,0,233
53402098,12,12101,2021,06,1,1,86
53402098,12,12101,2021,06,1,2,173
53402098,12,12101,2021,06,2,0,212
53402098,12,12101,2021,06,2,1,82
53402098,12,12101,2021,06,2,2,162
53402099,12,12101,2021,06,0,0,4987
53402099,12,12101,2021,06,0,1,695
53402099,12,12101,2021,06,0,2,2028
53402099,12,12101,2021,06,1,0,3213
53402099,12,12101,2021,06,1,1,465
53402099,12,12101,2021,06,1,2,1782
53402099,12,12101,2021,06,2,0,3686
53402099,12,12101,2021,06,2,1,527
53402099,12,12101,2021,06,2,2,1847
53402150,12,12101,2021,06,0,0,6012
53402150,12,12101,2021,06,0,1,8312
53402150,12,12101,2021,06,0,2,7343
53402150,12,12101,2021,06,1,0,4485
53402150,12,12101,2021,06,1,1,8385
53402150,12,12101,2021,06,1,2,6607
53402150,12,12101,2021,06,2,0,4893
53402150,12,12101,2021,06,2,1,8366
53402150,12,12101,2021,06,2,2,6804
53402160,12,12101,2021,06,0,0,5758
53402160,12,12101,2021,06,0,1,6358
53402160,12,12101,2021,06,0,2,6226
53402160,12,12101,2021,06,1,0,4728
53402160,12,12101,2021,06,1,1,6434
53402160,12,12101,2021,06,1,2,5969
53402160,12,12101,2021,06,2,0,5002
53402160,12,12101,2021,06,2,1,6414
53402160,12,12101,2021,06,2,2,6037
53402161,12,12101,2021,06,0,0,1617
53402161,12,12101,2021,06,0,1,1047
53402161,12,12101,2021,06,0,2,1340
53402161,12,12101,2021,06,1,0,1612
53402161,12,12101,2021,06,1,1,1168
53402161,12,12101,2021,06,1,2,1439
53402161,12,12101,2021,06,2,0,1614
53402161,12,12101,2021,06,2,1,1136
53402161,12,12101,2021,06,2,2,1413
53402162,12,12101,2021,06,0,0,3398
53402162,12,12101,2021,06,0,1,2365
53402162,12,12101,2021,06,0,2,2820
53402162,12,12101,2021,06,1,0,2337
53402162,12,12101,2021,06,1,1,2352
53402162,12,12101,2021,06,1,2,2370
53402162,12,12101,2021,06,2,0,2620
53402162,12,12101,2021,06,2,1,2356
53402162,12,12101,2021,06,2,2,2490
53402170,12,12101,2021,06,0,0,2958
53402170,12,12101,2021,06,0,1,3719
53402170,12,12101,2021,06,0,2,3372
53402170,12,12101,2021,06,1,0,3371
53402170,12,12101,2021,06,1,1,3652
53402170,12,12101,2021,06,1,2,3539
53402170,12,12101,2021,06,2,0,3261
53402170,12,12101,2021,06,2,1,3670
53402170,12,12101,2021,06,2,2,3495
53402171,12,12101,2021,06,0,0,3107
53402171,12,12101,2021,06,0,1,3167
53402171,12,12101,2021,06,0,2,3017
53402171,12,12101,2021,06,1,0,2673
53402171,12,12101,2021,06,1,1,3325
53402171,12,12101,2021,06,1,2,2984
53402171,12,12101,2021,06,2,0,2789
53402171,12,12101,2021,06,2,1,3283
53402171,12,12101,2021,06,2,2,2993
53402172,12,12101,2021,06,0,0,4213
53402172,12,12101,2021,06,0,1,4554
53402172,12,12101,2021,06,0,2,4367
53402172,12,12101,2021,06,1,0,3651
53402172,12,12101,2021,06,1,1,4321
53402172,12,12101,2021,06,1,2,3905
53402172,12,12101,2021,06,2,0,3801
53402172,12,12101,2021,06,2,1,4383
53402172,12,12101,2021,06,2,2,4028
53402180,12,12101,2021,06,0,0,5482
53402180,12,12101,2021,06,0,1,6449
53402180,12,12101,2021,06,0,2,6093
53402180,12,12101,2021,06,1,0,4420
53402180,12,12101,2021,06,1,1,6386
53402180,12,12101,2021,06,1,2,5462
53402180,12,12101,2021,06,2,0,4704
53402180,12,12101,2021,06,2,1,6403
53402180,12,12101,2021,06,2,2,5630
53402181,12,12101,2021,06,0,0,2115
53402181,12,12101,2021,06,0,1,2471
53402181,12,12101,2021,06,0,2,2356
53402181,12,12101,2021,06,1,0,2852
53402181,12,12101,2021,06,1,1,2411
53402181,12,12101,2021,06,1,2,2649
53402181,12,12101,2021,06,2,0,2656
53402181,12,12101,2021,06,2,1,2427
53402181,12,12101,2021,06,2,2,2571
53402182,12,12101,2021,06,0,0,806
53402182,12,12101,2021,06,0,1,822
53402182,12,12101,2021,06,0,2,862
53402182,12,12101,2021,06,1,0,697
53402182,12,12101,2021,06,1,1,912
53402182,12,12101,2021,06,1,2,827
53402182,12,12101,2021,06,2,0,726
53402182,12,12101,2021,06,2,1,888
53402182,12,12101,2021,06,2,2,837
53402183,12,12101,2021,06,0,0,3215
53402183,12,12101,2021,06,0,1,3420
53402183,12,12101,2021,06,0,2,3320
53402183,12,12101,2021,06,1,0,2143
53402183,12,12101,2021,06,1,1,3278
53402183,12,12101,2021,06,1,2,2796
53402183,12,12101,2021,06,2,0,2429
53402183,12,12101,2021,06,2,1,3316
53402183,12,12101,2021,06,2,2,2936
53402190,12,12101,2021,06,0,0,13313
53402190,12,12101,2021,06,0,1,11081
53402190,12,12101,2021,06,0,2,12105
53402190,12,12101,2021,06,1,0,13849
53402190,12,12101,2021,06,1,1,11971
53402190,12,12101,2021,06,1,2,13258
53402190,12,12101,2021,06,2,0,13706
53402190,12,12101,2021,06,2,1,11733
53402190,12,12101,2021,06,2,2,12951
53402191,12,12101,2021,06,0,0,4938
53402191,12,12101,2021,06,0,1,5709
53402191,12,12101,2021,06,0,2,5541
53402191,12,12101,2021,06,1,0,3698
53402191,12,12101,2021,06,1,1,5278
53402191,12,12101,2021,06,1,2,4575
53402191,12,12101,2021,06,2,0,4029
53402191,12,12101,2021,06,2,1,5393
53402191,12,12101,2021,06,2,2,4833
53402192,12,12101,2021,06,0,0,2196
53402192,12,12101,2021,06,0,1,2712
53402192,12,12101,2021,06,0,2,2379
53402192,12,12101,2021,06,1,0,5047
53402192,12,12101,2021,06,1,1,2920
53402192,12,12101,2021,06,1,2,3769
53402192,12,12101,2021,06,2,0,4287
53402192,12,12101,2021,06,2,1,2865
53402192,12,12101,2021,06,2,2,3398
53402193,12,12101,2021,06,0,0,2910
53402193,12,12101,2021,06,0,1,2858
53402193,12,12101,2021,06,0,2,2849
53402193,12,12101,2021,06,1,0,2285
53402193,12,12101,2021,06,1,1,2637
53402193,12,12101,2021,06,1,2,2526
53402193,12,12101,2021,06,2,0,2451
53402193,12,12101,2021,06,2,1,2696
53402193,12,12101,2021,06,2,2,2612
53403007,12,12101,2021,06,0,0,95
53403007,12,12101,2021,06,0,1,40
53403007,12,12101,2021,06,0,2,70
53403007,12,12101,2021,06,1,0,96
53403007,12,12101,2021,06,1,1,90
53403007,12,12101,2021,06,1,2,91
53403007,12,12101,2021,06,2,0,96
53403007,12,12101,2021,06,2,1,77
53403007,12,12101,2021,06,2,2,86
53403008,12,12101,2021,06,0,0,19
53403008,12,12101,2021,06,0,2,12
53403008,12,12101,2021,06,1,0,40
53403008,12,12101,2021,06,1,1,11
53403008,12,12101,2021,06,1,2,40
53403008,12,12101,2021,06,2,0,35
53403008,12,12101,2021,06,2,2,33
53403009,12,12101,2021,06,0,0,7310
53403009,12,12101,2021,06,0,1,1551
53403009,12,12101,2021,06,0,2,3835
53403009,12,12101,2021,06,1,0,4983
53403009,12,12101,2021,06,1,1,1811
53403009,12,12101,2021,06,1,2,3157
53403009,12,12101,2021,06,2,0,5604
53403009,12,12101,2021,06,2,1,1742
53403009,12,12101,2021,06,2,2,3338
53403017,12,12101,2021,06,0,0,290
53403017,12,12101,2021,06,0,1,139
53403017,12,12101,2021,06,0,2,201
53403017,12,12101,2021,06,1,0,217
53403017,12,12101,2021,06,1,1,58
53403017,12,12101,2021,06,1,2,128
53403017,12,12101,2021,06,2,0,237
53403017,12,12101,2021,06,2,1,80
53403017,12,12101,2021,06,2,2,148
53403018,12,12101,2021,06,0,0,1139
53403018,12,12101,2021,06,0,1,896
53403018,12,12101,2021,06,0,2,953
53403018,12,12101,2021,06,1,0,2023
53403018,12,12101,2021,06,1,1,1118
53403018,12,12101,2021,06,1,2,1491
53403018,12,12101,2021,06,2,0,1787
53403018,12,12101,2021,06,2,1,1059
53403018,12,12101,2021,06,2,2,1348
53403019,12,12101,2021,06,0,0,7568
53403019,12,12101,2021,06,0,1,6205
53403019,12,12101,2021,06,0,2,6747
53403019,12,12101,2021,06,1,0,6077
53403019,12,12101,2021,06,1,1,5849
53403019,12,12101,2021,06,1,2,6200
53403019,12,12101,2021,06,2,0,6474
53403019,12,12101,2021,06,2,1,5944
53403019,12,12101,2021,06,2,2,6346
53403028,12,12101,2021,06,0,0,13342
53403028,12,12101,2021,06,0,1,11052
53403028,12,12101,2021,06,0,2,12225
53403028,12,12101,2021,06,1,0,24121
53403028,12,12101,2021,06,1,1,12534
53403028,12,12101,2021,06,1,2,17957
53403028,12,12101,2021,06,2,0,21247
53403028,12,12101,2021,06,2,1,12139
53403028,12,12101,2021,06,2,2,16429
53403029,12,12101,2021,06,0,0,22048
53403029,12,12101,2021,06,0,1,22621
53403029,12,12101,2021,06,0,2,22082
53403029,12,12101,2021,06,1,0,35264
53403029,12,12101,2021,06,1,1,24548
53403029,12,12101,2021,06,1,2,29295
53403029,12,12101,2021,06,2,0,31740
53403029,12,12101,2021,06,2,1,24034
53403029,12,12101,2021,06,2,2,27372
53403038,12,12101,2021,06,0,0,15003
53403038,12,12101,2021,06,0,1,13555
53403038,12,12101,2021,06,0,2,14193
53403038,12,12101,2021,06,1,0,22395
53403038,12,12101,2021,06,1,1,15126
53403038,12,12101,2021,06,1,2,18601
53403038,12,12101,2021,06,2,0,20424
53403038,12,12101,2021,06,2,1,14707
53403038,12,12101,2021,06,2,2,17426
53403039,12,12101,2021,06,0,0,36348
53403039,12,12101,2021,06,0,1,15220
53403039,12,12101,2021,06,0,2,24272
53403039,12,12101,2021,06,1,0,49895
53403039,12,12101,2021,06,1,1,18478
53403039,12,12101,2021,06,1,2,33331
53403039,12,12101,2021,06,2,0,46282
53403039,12,12101,2021,06,2,1,17610
53403039,12,12101,2021,06,2,2,30915
53403048,12,12101,2021,06,0,0,11195
53403048,12,12101,2021,06,0,1,11978
53403048,12,12101,2021,06,0,2,11637
53403048,12,12101,2021,06,1,0,10265
53403048,12,12101,2021,06,1,1,11929
53403048,12,12101,2021,06,1,2,11433
53403048,12,12101,2021,06,2,0,10513
53403048,12,12101,2021,06,2,1,11942
53403048,12,12101,2021,06,2,2,11487
53403049,12,12101,2021,06,0,0,8905
53403049,12,12101,2021,06,0,1,9650
53403049,12,12101,2021,06,0,2,9460
53403049,12,12101,2021,06,1,0,7931
53403049,12,12101,2021,06,1,1,9270
53403049,12,12101,2021,06,1,2,8677
53403049,12,12101,2021,06,2,0,8191
53403049,12,12101,2021,06,2,1,9372
