mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53402069,12,12101,2021,01,0,0,739
53402069,12,12101,2021,01,0,1,176
53402069,12,12101,2021,01,0,2,456
53402069,12,12101,2021,01,1,0,1254
53402069,12,12101,2021,01,1,1,240
53402069,12,12101,2021,01,1,2,694
53402069,12,12101,2021,01,2,0,1055
53402069,12,12101,2021,01,2,1,215
53402069,12,12101,2021,01,2,2,602
53402077,12,12101,2021,01,0,0,114
53402077,12,12101,2021,01,0,1,22
53402077,12,12101,2021,01,0,2,52
53402077,12,12101,2021,01,1,0,265
53402077,12,12101,2021,01,1,2,109
53402077,12,12101,2021,01,2,0,206
53402077,12,12101,2021,01,2,1,14
53402077,12,12101,2021,01,2,2,87
53402078,12,12101,2021,01,0,0,61
53402078,12,12101,2021,01,0,1,106
53402078,12,12101,2021,01,0,2,71
53402078,12,12101,2021,01,1,0,230
53402078,12,12101,2021,01,1,1,30
53402078,12,12101,2021,01,1,2,113
53402078,12,12101,2021,01,2,0,165
53402078,12,12101,2021,01,2,1,59
53402078,12,12101,2021,01,2,2,97
53402079,12,12101,2021,01,0,0,138
53402079,12,12101,2021,01,0,1,19
53402079,12,12101,2021,01,0,2,87
53402079,12,12101,2021,01,1,0,1356
53402079,12,12101,2021,01,1,1,227
53402079,12,12101,2021,01,1,2,718
53402079,12,12101,2021,01,2,0,884
53402079,12,12101,2021,01,2,1,146
53402079,12,12101,2021,01,2,2,474
53402086,12,12101,2021,01,1,0,16
53402086,12,12101,2021,01,1,2,14
53402086,12,12101,2021,01,2,0,12
53402086,12,12101,2021,01,2,2,10
53402087,12,12101,2021,01,0,0,109
53402087,12,12101,2021,01,0,1,11
53402087,12,12101,2021,01,0,2,62
53402087,12,12101,2021,01,1,0,360
53402087,12,12101,2021,01,1,1,19
53402087,12,12101,2021,01,1,2,166
53402087,12,12101,2021,01,2,0,263
53402087,12,12101,2021,01,2,1,16
53402087,12,12101,2021,01,2,2,126
53402088,12,12101,2021,01,0,0,61
53402088,12,12101,2021,01,0,1,97
53402088,12,12101,2021,01,0,2,80
53402088,12,12101,2021,01,1,0,547
53402088,12,12101,2021,01,1,1,182
53402088,12,12101,2021,01,1,2,328
53402088,12,12101,2021,01,2,0,359
53402088,12,12101,2021,01,2,1,149
53402088,12,12101,2021,01,2,2,232
53402089,12,12101,2021,01,0,0,142
53402089,12,12101,2021,01,0,1,44
53402089,12,12101,2021,01,0,2,63
53402089,12,12101,2021,01,1,0,277
53402089,12,12101,2021,01,1,1,47
53402089,12,12101,2021,01,1,2,156
53402089,12,12101,2021,01,2,0,225
53402089,12,12101,2021,01,2,1,46
53402089,12,12101,2021,01,2,2,120
53402096,12,12101,2021,01,1,0,44
53402096,12,12101,2021,01,1,2,15
53402096,12,12101,2021,01,2,0,28
53402096,12,12101,2021,01,2,2,10
53402097,12,12101,2021,01,0,0,249
53402097,12,12101,2021,01,0,1,218
53402097,12,12101,2021,01,0,2,219
53402097,12,12101,2021,01,1,0,1250
53402097,12,12101,2021,01,1,1,327
53402097,12,12101,2021,01,1,2,709
53402097,12,12101,2021,01,2,0,863
53402097,12,12101,2021,01,2,1,285
53402097,12,12101,2021,01,2,2,519
53402098,12,12101,2021,01,0,0,115
53402098,12,12101,2021,01,0,1,86
53402098,12,12101,2021,01,0,2,74
53402098,12,12101,2021,01,1,0,212
53402098,12,12101,2021,01,1,1,45
53402098,12,12101,2021,01,1,2,120
53402098,12,12101,2021,01,2,0,174
53402098,12,12101,2021,01,2,1,61
53402098,12,12101,2021,01,2,2,102
53402099,12,12101,2021,01,0,0,1704
53402099,12,12101,2021,01,0,1,237
53402099,12,12101,2021,01,0,2,805
53402099,12,12101,2021,01,1,0,3166
53402099,12,12101,2021,01,1,1,279
53402099,12,12101,2021,01,1,2,1594
53402099,12,12101,2021,01,2,0,2600
53402099,12,12101,2021,01,2,1,263
