mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53402069,12,12101,2021,10,0,0,738
53402069,12,12101,2021,10,0,1,215
53402069,12,12101,2021,10,0,2,443
53402069,12,12101,2021,10,1,0,1232
53402069,12,12101,2021,10,1,1,231
53402069,12,12101,2021,10,1,2,698
53402069,12,12101,2021,10,2,0,1073
53402069,12,12101,2021,10,2,1,226
53402069,12,12101,2021,10,2,2,616
53402077,12,12101,2021,10,0,0,123
53402077,12,12101,2021,10,0,1,71
53402077,12,12101,2021,10,0,2,71
53402077,12,12101,2021,10,1,0,208
53402077,12,12101,2021,10,1,1,26
53402077,12,12101,2021,10,1,2,98
53402077,12,12101,2021,10,2,0,180
53402077,12,12101,2021,10,2,1,40
53402077,12,12101,2021,10,2,2,89
53402078,12,12101,2021,10,0,0,228
53402078,12,12101,2021,10,0,2,99
53402078,12,12101,2021,10,1,0,386
53402078,12,12101,2021,10,1,1,170
53402078,12,12101,2021,10,1,2,241
53402078,12,12101,2021,10,2,0,335
53402078,12,12101,2021,10,2,1,115
53402078,12,12101,2021,10,2,2,195
53402079,12,12101,2021,10,0,0,285
53402079,12,12101,2021,10,0,1,116
53402079,12,12101,2021,10,0,2,187
53402079,12,12101,2021,10,1,0,1718
53402079,12,12101,2021,10,1,1,219
53402079,12,12101,2021,10,1,2,826
53402079,12,12101,2021,10,2,0,1256
53402079,12,12101,2021,10,2,1,186
53402079,12,12101,2021,10,2,2,620
53402087,12,12101,2021,10,0,0,61
53402087,12,12101,2021,10,0,2,18
53402087,12,12101,2021,10,1,0,369
53402087,12,12101,2021,10,1,1,32
53402087,12,12101,2021,10,1,2,169
53402087,12,12101,2021,10,2,0,270
53402087,12,12101,2021,10,2,1,22
53402087,12,12101,2021,10,2,2,120
53402088,12,12101,2021,10,0,0,167
53402088,12,12101,2021,10,0,1,48
53402088,12,12101,2021,10,0,2,111
53402088,12,12101,2021,10,1,0,467
53402088,12,12101,2021,10,1,1,127
53402088,12,12101,2021,10,1,2,275
53402088,12,12101,2021,10,2,0,370
53402088,12,12101,2021,10,2,1,102
53402088,12,12101,2021,10,2,2,222
53402089,12,12101,2021,10,0,0,292
53402089,12,12101,2021,10,0,2,134
53402089,12,12101,2021,10,1,0,440
53402089,12,12101,2021,10,1,1,44
53402089,12,12101,2021,10,1,2,200
53402089,12,12101,2021,10,2,0,392
53402089,12,12101,2021,10,2,1,31
53402089,12,12101,2021,10,2,2,179
53402096,12,12101,2021,10,1,0,23
53402096,12,12101,2021,10,1,2,10
53402096,12,12101,2021,10,2,0,17
53402097,12,12101,2021,10,0,0,261
53402097,12,12101,2021,10,0,1,257
53402097,12,12101,2021,10,0,2,266
53402097,12,12101,2021,10,1,0,829
53402097,12,12101,2021,10,1,1,353
53402097,12,12101,2021,10,1,2,548
53402097,12,12101,2021,10,2,0,646
53402097,12,12101,2021,10,2,1,322
53402097,12,12101,2021,10,2,2,457
53402098,12,12101,2021,10,0,0,146
53402098,12,12101,2021,10,0,1,116
53402098,12,12101,2021,10,0,2,138
53402098,12,12101,2021,10,1,0,189
53402098,12,12101,2021,10,1,1,112
53402098,12,12101,2021,10,1,2,160
53402098,12,12101,2021,10,2,0,175
53402098,12,12101,2021,10,2,1,113
53402098,12,12101,2021,10,2,2,153
53402099,12,12101,2021,10,0,0,6663
53402099,12,12101,2021,10,0,1,1151
53402099,12,12101,2021,10,0,2,2722
53402099,12,12101,2021,10,1,0,2847
53402099,12,12101,2021,10,1,1,344
53402099,12,12101,2021,10,1,2,1481
53402099,12,12101,2021,10,2,0,4078
53402099,12,12101,2021,10,2,1,605
53402099,12,12101,2021,10,2,2,1881
53402150,12,12101,2021,10,0,0,5790
53402150,12,12101,2021,10,0,1,8031
53402150,12,12101,2021,10,0,2,7160
53402150,12,12101,2021,10,1,0,4848
53402150,12,12101,2021,10,1,1,8053
53402150,12,12101,2021,10,1,2,6474
53402150,12,12101,2021,10,2,0,5152
53402150,12,12101,2021,10,2,1,8046
53402150,12,12101,2021,10,2,2,6696
53402160,12,12101,2021,10,0,0,5815
53402160,12,12101,2021,10,0,1,6320
53402160,12,12101,2021,10,0,2,6294
53402160,12,12101,2021,10,1,0,4702
53402160,12,12101,2021,10,1,1,6505
53402160,12,12101,2021,10,1,2,5947
53402160,12,12101,2021,10,2,0,5061
53402160,12,12101,2021,10,2,1,6445
53402160,12,12101,2021,10,2,2,6059
53402161,12,12101,2021,10,0,0,1919
53402161,12,12101,2021,10,0,1,1583
53402161,12,12101,2021,10,0,2,1710
53402161,12,12101,2021,10,1,0,1721
53402161,12,12101,2021,10,1,1,1678
53402161,12,12101,2021,10,1,2,1719
53402161,12,12101,2021,10,2,0,1785
53402161,12,12101,2021,10,2,1,1648
53402161,12,12101,2021,10,2,2,1716
53402162,12,12101,2021,10,0,0,3268
53402162,12,12101,2021,10,0,1,2649
53402162,12,12101,2021,10,0,2,2898
53402162,12,12101,2021,10,1,0,2099
53402162,12,12101,2021,10,1,1,2114
53402162,12,12101,2021,10,1,2,2151
53402162,12,12101,2021,10,2,0,2476
53402162,12,12101,2021,10,2,1,2287
53402162,12,12101,2021,10,2,2,2392
53402170,12,12101,2021,10,0,0,3116
53402170,12,12101,2021,10,0,1,4070
53402170,12,12101,2021,10,0,2,3647
53402170,12,12101,2021,10,1,0,3352
53402170,12,12101,2021,10,1,1,3924
53402170,12,12101,2021,10,1,2,3658
53402170,12,12101,2021,10,2,0,3276
53402170,12,12101,2021,10,2,1,3971
53402170,12,12101,2021,10,2,2,3654
53402171,12,12101,2021,10,0,0,2875
53402171,12,12101,2021,10,0,1,2860
53402171,12,12101,2021,10,0,2,2788
53402171,12,12101,2021,10,1,0,2678
53402171,12,12101,2021,10,1,1,2924
53402171,12,12101,2021,10,1,2,2830
53402171,12,12101,2021,10,2,0,2741
53402171,12,12101,2021,10,2,1,2904
53402171,12,12101,2021,10,2,2,2816
53402172,12,12101,2021,10,0,0,4070
53402172,12,12101,2021,10,0,1,3965
53402172,12,12101,2021,10,0,2,4004
53402172,12,12101,2021,10,1,0,3440
53402172,12,12101,2021,10,1,1,3478
53402172,12,12101,2021,10,1,2,3377
53402172,12,12101,2021,10,2,0,3643
53402172,12,12101,2021,10,2,1,3635
53402172,12,12101,2021,10,2,2,3579
53402180,12,12101,2021,10,0,0,5029
53402180,12,12101,2021,10,0,1,5697
53402180,12,12101,2021,10,0,2,5454
53402180,12,12101,2021,10,1,0,4053
53402180,12,12101,2021,10,1,1,5864
53402180,12,12101,2021,10,1,2,4939
53402180,12,12101,2021,10,2,0,4368
53402180,12,12101,2021,10,2,1,5810
53402180,12,12101,2021,10,2,2,5105
53402181,12,12101,2021,10,0,0,2290
53402181,12,12101,2021,10,0,1,2539
53402181,12,12101,2021,10,0,2,2409
53402181,12,12101,2021,10,1,0,2808
53402181,12,12101,2021,10,1,1,2667
53402181,12,12101,2021,10,1,2,2750
53402181,12,12101,2021,10,2,0,2641
53402181,12,12101,2021,10,2,1,2626
53402181,12,12101,2021,10,2,2,2640
53402182,12,12101,2021,10,0,0,682
53402182,12,12101,2021,10,0,1,738
53402182,12,12101,2021,10,0,2,752
53402182,12,12101,2021,10,1,0,698
53402182,12,12101,2021,10,1,1,846
53402182,12,12101,2021,10,1,2,815
53402182,12,12101,2021,10,2,0,693
53402182,12,12101,2021,10,2,1,811
53402182,12,12101,2021,10,2,2,795
53402183,12,12101,2021,10,0,0,2641
53402183,12,12101,2021,10,0,1,3393
53402183,12,12101,2021,10,0,2,3093
53402183,12,12101,2021,10,1,0,2039
53402183,12,12101,2021,10,1,1,2843
53402183,12,12101,2021,10,1,2,2534
53402183,12,12101,2021,10,2,0,2233
53402183,12,12101,2021,10,2,1,3020
53402183,12,12101,2021,10,2,2,2714
53402190,12,12101,2021,10,0,0,14953
53402190,12,12101,2021,10,0,1,12295
53402190,12,12101,2021,10,0,2,13395
53402190,12,12101,2021,10,1,0,12864
53402190,12,12101,2021,10,1,1,11673
53402190,12,12101,2021,10,1,2,12706
53402190,12,12101,2021,10,2,0,13538
53402190,12,12101,2021,10,2,1,11873
53402190,12,12101,2021,10,2,2,12928
53402191,12,12101,2021,10,0,0,4765
53402191,12,12101,2021,10,0,1,5322
53402191,12,12101,2021,10,0,2,5184
53402191,12,12101,2021,10,1,0,3268
53402191,12,12101,2021,10,1,1,4775
53402191,12,12101,2021,10,1,2,4102
53402191,12,12101,2021,10,2,0,3751
53402191,12,12101,2021,10,2,1,4951
53402191,12,12101,2021,10,2,2,4451
53402192,12,12101,2021,10,0,0,1496
53402192,12,12101,2021,10,0,1,2004
53402192,12,12101,2021,10,0,2,1709
53402192,12,12101,2021,10,1,0,4373
53402192,12,12101,2021,10,1,1,2825
53402192,12,12101,2021,10,1,2,3445
53402192,12,12101,2021,10,2,0,3445
53402192,12,12101,2021,10,2,1,2560
53402192,12,12101,2021,10,2,2,2885
53402193,12,12101,2021,10,0,0,3009
53402193,12,12101,2021,10,0,1,2698
53402193,12,12101,2021,10,0,2,2740
53402193,12,12101,2021,10,1,0,2342
53402193,12,12101,2021,10,1,1,2423
53402193,12,12101,2021,10,1,2,2444
53402193,12,12101,2021,10,2,0,2557
53402193,12,12101,2021,10,2,1,2512
53402193,12,12101,2021,10,2,2,2540
53403007,12,12101,2021,10,0,0,197
53403007,12,12101,2021,10,0,1,128
53403007,12,12101,2021,10,0,2,171
53403007,12,12101,2021,10,1,0,180
53403007,12,12101,2021,10,1,1,138
53403007,12,12101,2021,10,1,2,137
53403007,12,12101,2021,10,2,0,185
53403007,12,12101,2021,10,2,1,135
53403007,12,12101,2021,10,2,2,148
53403008,12,12101,2021,10,0,0,30
53403008,12,12101,2021,10,0,1,33
53403008,12,12101,2021,10,0,2,20
53403008,12,12101,2021,10,1,0,31
53403008,12,12101,2021,10,1,1,28
53403008,12,12101,2021,10,1,2,34
53403008,12,12101,2021,10,2,0,30
53403008,12,12101,2021,10,2,1,30
53403008,12,12101,2021,10,2,2,30
53403009,12,12101,2021,10,0,0,6441
53403009,12,12101,2021,10,0,1,2240
53403009,12,12101,2021,10,0,2,3883
53403009,12,12101,2021,10,1,0,4971
53403009,12,12101,2021,10,1,1,2385
53403009,12,12101,2021,10,1,2,3421
53403009,12,12101,2021,10,2,0,5445
53403009,12,12101,2021,10,2,1,2338
53403009,12,12101,2021,10,2,2,3570
53403017,12,12101,2021,10,0,0,397
53403017,12,12101,2021,10,0,1,126
53403017,12,12101,2021,10,0,2,303
53403017,12,12101,2021,10,1,0,240
53403017,12,12101,2021,10,1,1,116
53403017,12,12101,2021,10,1,2,157
53403017,12,12101,2021,10,2,0,291
53403017,12,12101,2021,10,2,1,119
53403017,12,12101,2021,10,2,2,204
