mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53402069,12,12101,2021,02,0,0,632
53402069,12,12101,2021,02,0,1,214
53402069,12,12101,2021,02,0,2,382
53402069,12,12101,2021,02,1,0,1320
53402069,12,12101,2021,02,1,1,313
53402069,12,12101,2021,02,1,2,711
53402069,12,12101,2021,02,2,0,1074
53402069,12,12101,2021,02,2,1,277
53402069,12,12101,2021,02,2,2,593
53402077,12,12101,2021,02,0,0,80
53402077,12,12101,2021,02,0,2,41
53402077,12,12101,2021,02,1,0,213
53402077,12,12101,2021,02,1,2,86
53402077,12,12101,2021,02,2,0,166
53402077,12,12101,2021,02,2,2,70
53402078,12,12101,2021,02,0,0,142
53402078,12,12101,2021,02,0,2,67
53402078,12,12101,2021,02,1,0,298
53402078,12,12101,2021,02,1,1,90
53402078,12,12101,2021,02,1,2,139
53402078,12,12101,2021,02,2,0,242
53402078,12,12101,2021,02,2,1,59
53402078,12,12101,2021,02,2,2,113
53402079,12,12101,2021,02,0,0,193
53402079,12,12101,2021,02,0,1,25
53402079,12,12101,2021,02,0,2,99
53402079,12,12101,2021,02,1,0,1317
53402079,12,12101,2021,02,1,1,205
53402079,12,12101,2021,02,1,2,696
53402079,12,12101,2021,02,2,0,916
53402079,12,12101,2021,02,2,1,141
53402079,12,12101,2021,02,2,2,483
53402086,12,12101,2021,02,0,0,37
53402086,12,12101,2021,02,0,1,21
53402086,12,12101,2021,02,0,2,21
53402086,12,12101,2021,02,2,0,14
53402086,12,12101,2021,02,2,2,11
53402087,12,12101,2021,02,0,0,127
53402087,12,12101,2021,02,0,1,72
53402087,12,12101,2021,02,0,2,82
53402087,12,12101,2021,02,1,0,421
53402087,12,12101,2021,02,1,1,53
53402087,12,12101,2021,02,1,2,203
53402087,12,12101,2021,02,2,0,316
53402087,12,12101,2021,02,2,1,60
53402087,12,12101,2021,02,2,2,159
53402088,12,12101,2021,02,0,0,111
53402088,12,12101,2021,02,0,1,116
53402088,12,12101,2021,02,0,2,105
53402088,12,12101,2021,02,1,0,530
53402088,12,12101,2021,02,1,1,79
53402088,12,12101,2021,02,1,2,285
53402088,12,12101,2021,02,2,0,381
53402088,12,12101,2021,02,2,1,92
53402088,12,12101,2021,02,2,2,220
53402089,12,12101,2021,02,0,0,205
53402089,12,12101,2021,02,0,2,70
53402089,12,12101,2021,02,1,0,370
53402089,12,12101,2021,02,1,1,80
53402089,12,12101,2021,02,1,2,199
53402089,12,12101,2021,02,2,0,311
53402089,12,12101,2021,02,2,1,52
53402089,12,12101,2021,02,2,2,153
53402097,12,12101,2021,02,0,0,151
53402097,12,12101,2021,02,0,1,113
53402097,12,12101,2021,02,0,2,116
53402097,12,12101,2021,02,1,0,1249
53402097,12,12101,2021,02,1,1,335
53402097,12,12101,2021,02,1,2,726
53402097,12,12101,2021,02,2,0,856
53402097,12,12101,2021,02,2,1,256
53402097,12,12101,2021,02,2,2,508
53402098,12,12101,2021,02,0,0,66
53402098,12,12101,2021,02,0,1,66
53402098,12,12101,2021,02,0,2,85
53402098,12,12101,2021,02,1,0,215
53402098,12,12101,2021,02,1,1,43
53402098,12,12101,2021,02,1,2,129
53402098,12,12101,2021,02,2,0,162
53402098,12,12101,2021,02,2,1,51
53402098,12,12101,2021,02,2,2,113
53402099,12,12101,2021,02,0,0,3116
53402099,12,12101,2021,02,0,1,499
53402099,12,12101,2021,02,0,2,1363
53402099,12,12101,2021,02,1,0,2898
53402099,12,12101,2021,02,1,1,242
53402099,12,12101,2021,02,1,2,1411
53402099,12,12101,2021,02,2,0,2975
53402099,12,12101,2021,02,2,1,333
53402099,12,12101,2021,02,2,2,1394
53402150,12,12101,2021,02,0,0,5340
53402150,12,12101,2021,02,0,1,7415
53402150,12,12101,2021,02,0,2,6597
53402150,12,12101,2021,02,1,0,4901
53402150,12,12101,2021,02,1,1,7418
53402150,12,12101,2021,02,1,2,6298
53402150,12,12101,2021,02,2,0,5058
53402150,12,12101,2021,02,2,1,7417
53402150,12,12101,2021,02,2,2,6405
53402160,12,12101,2021,02,0,0,5254
53402160,12,12101,2021,02,0,1,5291
53402160,12,12101,2021,02,0,2,5430
53402160,12,12101,2021,02,1,0,5043
53402160,12,12101,2021,02,1,1,5504
53402160,12,12101,2021,02,1,2,5421
53402160,12,12101,2021,02,2,0,5118
53402160,12,12101,2021,02,2,1,5428
53402160,12,12101,2021,02,2,2,5424
53402161,12,12101,2021,02,0,0,1852
53402161,12,12101,2021,02,0,1,1463
53402161,12,12101,2021,02,0,2,1619
53402161,12,12101,2021,02,1,0,1490
53402161,12,12101,2021,02,1,1,1300
53402161,12,12101,2021,02,1,2,1495
53402161,12,12101,2021,02,2,0,1619
53402161,12,12101,2021,02,2,1,1358
53402161,12,12101,2021,02,2,2,1540
53402162,12,12101,2021,02,0,0,3628
53402162,12,12101,2021,02,0,1,2915
53402162,12,12101,2021,02,0,2,3145
53402162,12,12101,2021,02,1,0,2266
53402162,12,12101,2021,02,1,1,2438
53402162,12,12101,2021,02,1,2,2388
53402162,12,12101,2021,02,2,0,2752
53402162,12,12101,2021,02,2,1,2609
53402162,12,12101,2021,02,2,2,2658
53402170,12,12101,2021,02,0,0,3279
53402170,12,12101,2021,02,0,1,4088
53402170,12,12101,2021,02,0,2,3719
53402170,12,12101,2021,02,1,0,3591
53402170,12,12101,2021,02,1,1,4150
53402170,12,12101,2021,02,1,2,3906
53402170,12,12101,2021,02,2,0,3480
53402170,12,12101,2021,02,2,1,4128
53402170,12,12101,2021,02,2,2,3839
53402171,12,12101,2021,02,0,0,3009
53402171,12,12101,2021,02,0,1,3306
53402171,12,12101,2021,02,0,2,3049
53402171,12,12101,2021,02,1,0,2474
53402171,12,12101,2021,02,1,1,2972
53402171,12,12101,2021,02,1,2,2873
53402171,12,12101,2021,02,2,0,2665
53402171,12,12101,2021,02,2,1,3091
53402171,12,12101,2021,02,2,2,2935
53402172,12,12101,2021,02,0,0,3895
53402172,12,12101,2021,02,0,1,3682
53402172,12,12101,2021,02,0,2,3756
53402172,12,12101,2021,02,1,0,2899
53402172,12,12101,2021,02,1,1,3738
53402172,12,12101,2021,02,1,2,3342
53402172,12,12101,2021,02,2,0,3255
53402172,12,12101,2021,02,2,1,3718
53402172,12,12101,2021,02,2,2,3489
53402180,12,12101,2021,02,0,0,5721
53402180,12,12101,2021,02,0,1,6259
53402180,12,12101,2021,02,0,2,6000
53402180,12,12101,2021,02,1,0,4182
53402180,12,12101,2021,02,1,1,6409
53402180,12,12101,2021,02,1,2,5394
53402180,12,12101,2021,02,2,0,4732
53402180,12,12101,2021,02,2,1,6356
53402180,12,12101,2021,02,2,2,5610
53402181,12,12101,2021,02,0,0,2305
53402181,12,12101,2021,02,0,1,2353
53402181,12,12101,2021,02,0,2,2370
53402181,12,12101,2021,02,1,0,2557
53402181,12,12101,2021,02,1,1,2347
53402181,12,12101,2021,02,1,2,2527
53402181,12,12101,2021,02,2,0,2467
53402181,12,12101,2021,02,2,1,2349
53402181,12,12101,2021,02,2,2,2471
53402182,12,12101,2021,02,0,0,658
53402182,12,12101,2021,02,0,1,751
53402182,12,12101,2021,02,0,2,706
53402182,12,12101,2021,02,1,0,607
53402182,12,12101,2021,02,1,1,656
53402182,12,12101,2021,02,1,2,648
53402182,12,12101,2021,02,2,0,625
