mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53402069,12,12101,2021,11,0,0,870
53402069,12,12101,2021,11,0,1,207
53402069,12,12101,2021,11,0,2,508
53402069,12,12101,2021,11,1,0,1167
53402069,12,12101,2021,11,1,1,324
53402069,12,12101,2021,11,1,2,689
53402069,12,12101,2021,11,2,0,1068
53402069,12,12101,2021,11,2,1,285
53402069,12,12101,2021,11,2,2,628
53402077,12,12101,2021,11,0,0,31
53402077,12,12101,2021,11,0,2,16
53402077,12,12101,2021,11,1,0,127
53402077,12,12101,2021,11,1,1,16
53402077,12,12101,2021,11,1,2,56
53402077,12,12101,2021,11,2,0,95
53402077,12,12101,2021,11,2,1,11
53402077,12,12101,2021,11,2,2,43
53402078,12,12101,2021,11,0,0,124
53402078,12,12101,2021,11,0,1,190
53402078,12,12101,2021,11,0,2,120
53402078,12,12101,2021,11,1,0,376
53402078,12,12101,2021,11,1,1,68
53402078,12,12101,2021,11,1,2,172
53402078,12,12101,2021,11,2,0,292
53402078,12,12101,2021,11,2,1,109
53402078,12,12101,2021,11,2,2,155
53402079,12,12101,2021,11,0,0,355
53402079,12,12101,2021,11,0,1,48
53402079,12,12101,2021,11,0,2,177
53402079,12,12101,2021,11,1,0,1866
53402079,12,12101,2021,11,1,1,364
53402079,12,12101,2021,11,1,2,993
53402079,12,12101,2021,11,2,0,1362
53402079,12,12101,2021,11,2,1,258
53402079,12,12101,2021,11,2,2,721
53402086,12,12101,2021,11,1,0,14
53402087,12,12101,2021,11,0,0,117
53402087,12,12101,2021,11,0,2,51
53402087,12,12101,2021,11,1,0,412
53402087,12,12101,2021,11,1,1,67
53402087,12,12101,2021,11,1,2,201
53402087,12,12101,2021,11,2,0,314
53402087,12,12101,2021,11,2,1,46
53402087,12,12101,2021,11,2,2,151
53402088,12,12101,2021,11,0,0,148
53402088,12,12101,2021,11,0,1,30
53402088,12,12101,2021,11,0,2,83
53402088,12,12101,2021,11,1,0,611
53402088,12,12101,2021,11,1,1,202
53402088,12,12101,2021,11,1,2,362
53402088,12,12101,2021,11,2,0,457
53402088,12,12101,2021,11,2,1,145
53402088,12,12101,2021,11,2,2,269
53402089,12,12101,2021,11,0,0,402
53402089,12,12101,2021,11,0,2,136
53402089,12,12101,2021,11,1,0,448
53402089,12,12101,2021,11,1,1,33
53402089,12,12101,2021,11,1,2,212
53402089,12,12101,2021,11,2,0,432
53402089,12,12101,2021,11,2,1,22
53402089,12,12101,2021,11,2,2,187
53402096,12,12101,2021,11,1,0,16
53402096,12,12101,2021,11,2,0,12
53402097,12,12101,2021,11,0,0,153
53402097,12,12101,2021,11,0,1,198
53402097,12,12101,2021,11,0,2,158
53402097,12,12101,2021,11,1,0,827
53402097,12,12101,2021,11,1,1,276
53402097,12,12101,2021,11,1,2,524
53402097,12,12101,2021,11,2,0,602
53402097,12,12101,2021,11,2,1,250
53402097,12,12101,2021,11,2,2,402
53402098,12,12101,2021,11,0,0,119
53402098,12,12101,2021,11,0,1,94
53402098,12,12101,2021,11,0,2,117
53402098,12,12101,2021,11,1,0,330
53402098,12,12101,2021,11,1,1,103
53402098,12,12101,2021,11,1,2,186
53402098,12,12101,2021,11,2,0,259
53402098,12,12101,2021,11,2,1,100
53402098,12,12101,2021,11,2,2,163
53402099,12,12101,2021,11,0,0,7078
53402099,12,12101,2021,11,0,1,1028
53402099,12,12101,2021,11,0,2,2757
53402099,12,12101,2021,11,1,0,3052
53402099,12,12101,2021,11,1,1,590
53402099,12,12101,2021,11,1,2,1683
53402099,12,12101,2021,11,2,0,4394
53402099,12,12101,2021,11,2,1,736
53402099,12,12101,2021,11,2,2,2041
53402150,12,12101,2021,11,0,0,5436
53402150,12,12101,2021,11,0,1,7917
53402150,12,12101,2021,11,0,2,7003
53402150,12,12101,2021,11,1,0,4816
53402150,12,12101,2021,11,1,1,7902
53402150,12,12101,2021,11,1,2,6531
53402150,12,12101,2021,11,2,0,5023
53402150,12,12101,2021,11,2,1,7907
53402150,12,12101,2021,11,2,2,6688
53402160,12,12101,2021,11,0,0,5501
53402160,12,12101,2021,11,0,1,6114
